Category,Item,Description,Updated Price,Current Shop Price,Original price,Extra,30%,35%,40%,,Updated Website - Collection,Updated Website - Delivery,Current Website,,delivery,current delivery,Uber,,,,,,,,,,
,,,,,,,,,,,,,,0,,,$0.00 ,,,,,,,,,,
FISH,Flake,Grilled Or Fried,$10.00 ,$9.00,$3.23,,$9.69,$9.04,$8.08,,$11.00 ,$11.50 ,10.5,11,$11.50 ,$10.35 ,$14.30 ,,,,,,,,,,
,Flathead,3 Fillets Fried Only,$11.00 ,$9.00,$3.97,,$11.91,$11.12,$9.93,,$12.10 ,$12.70 ,11,12.1,$12.65 ,$10.35 ,$15.73 ,,,,,,,,,,
,Blue Grenadier,Grilled Or Fried,$9.00 ,$9.00,$1.57,,$5.23,$4.40,$3.93,,$9.90 ,$10.40 ,9.5,9.9,$10.35 ,$10.35 ,$12.87 ,,,,,,,,,,
,Barramundi,Grilled Or Fried,$9.00 ,$9.00,$2.54,,$8.46,$7.11,$6.35,,$9.90 ,$10.40 ,9.5,9.9,$10.35 ,$10.35 ,$12.87 ,,,,,,,,,,
,Whiting,Grilled Or Fried,$9.00 ,$9.00,$1.87,,$6.23,$5.24,$4.68,,$9.90 ,$10.40 ,9.5,9.9,$10.35 ,$10.35 ,$12.87 ,,,,,,,,,,
,Butter Fish,Grilled Or Fried,$9.00 ,$9.00,$1.87,,$6.23,$5.24,$4.68,,$9.90 ,$10.40 ,9.5,9.9,$10.35 ,$10.35 ,$12.87 ,,,,,,,,,,
,Barracouta,Fried,$9.00 ,$11.00,$1.50,,$5.00,$4.20,$3.75,,$9.90 ,$10.40 ,9.5,9.9,$10.35 ,$12.65 ,$12.87 ,,,,,,,,,,
,Basa,Grilled Or Fried,$7.00 ,$11.00,$0.64,,$2.13,$1.79,$1.60,,$7.70 ,$8.10 ,9.5,7.7,$8.05 ,$12.65 ,$10.01 ,,,,,,,,,,
,Any Grilled Fish Add $0.50,,$0.50,,,,,$0.00,,,$0.60 ,$0.60 ,0.6,0.55,$0.58 ,$0.00 ,$0.78 ,,,,,current,,,,,
,Add Panko,,$1.00,,,,,,,,$1.10 ,$1.20 ,1.1,1.1,$1.15 ,$0.00 ,$1.43 ,,,,,,,,,,
,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,,,,,,,,
Chip,Half Serve Chips,,$3.00,$3.00,0.8855,,$2.95,$2.48,$2.21,,$3.30 ,$3.50 ,3.3,3.3,$3.45 ,$3.45 ,$4.29 ,,,,4,517.2413793,500,,,5.8,750
,Small,Serves 1-2,$5.80 ,$5.50,1.8975,,$5.69,$5.31,$4.74,,$6.40 ,$6.70 ,6.6,6.38,$6.67 ,$6.33 ,$8.32 ,,,,5,646.5517241,650,,,,
,Medium,Serves 2-3,$8.50 ,$7.70,2.783,,$8.35,$7.79,$6.96,,$9.40 ,$9.80 ,8.5,9.35,$9.78 ,$8.86 ,$12.22 ,,,,6,775.862069,750,,,,
